area,area_bbox,area_convex,area_filled,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,intensity_max,intensity_mean,intensity_min,label,orientation,perimeter,perimeter_crofton,solidity,ERThresh_intersection_percentage,ERThresh_intersection_area,ERThresh_num_intersection_areas
670,1876,1149,670,70.53036644577782,18.360179478700744,0.9655234876428419,29.20737055903114,1,0.35714285714285715,67.06713054842886,255.0,255.0,255.0,1,-1.484945890044513,217.10155108391487,217.60036935096863,0.5831157528285466,1.6417910447761193,11,5
143,196,153,143,14.730536787603175,12.442392633662498,0.5352927338046259,13.493452297211721,1,0.7295918367346939,15.652475842498529,255.0,255.0,255.0,2,-0.7353171573322609,43.21320343559643,43.65020289865059,0.934640522875817,2.097902097902098,3,2
41,56,46,41,8.88146734082503,6.0319367746022925,0.733990315880801,7.225151993843567,1,0.7321428571428571,8.94427190999916,255.0,255.0,255.0,3,0.4415563542207239,22.485281374238568,23.99890053089723,0.8913043478260869,0.0,0,0
346,576,400,346,29.73658424690494,15.865628978198544,0.8457754309827781,20.98906578384008,1,0.6006944444444444,28.600699292150182,255.0,255.0,255.0,4,-0.8485722907896034,78.5269119345812,77.12969791923302,0.865,0.2890173410404624,1,1
51,70,54,51,11.287666679088986,5.918155717869694,0.8515318725757872,8.058239062071396,1,0.7285714285714285,11.180339887498949,255.0,255.0,255.0,5,0.4041409947292401,25.899494936611667,27.235777959501515,0.9444444444444444,29.411764705882355,15,1
23,42,27,23,5.860111823396542,5.599361680766197,0.29497737489486114,5.4115163798060095,1,0.5476190476190477,7.0710678118654755,255.0,255.0,255.0,6,0.9718920242974793,17.27817459305202,19.651302367753352,0.8518518518518519,0.0,0,0
46,63,50,46,10.024202149307921,6.0669907648592964,0.7960474024725255,7.653039857325812,1,0.7301587301587301,10.295630140987,255.0,255.0,255.0,7,-1.1012586736594472,25.071067811865476,26.450379796104066,0.92,63.04347826086957,29,1
138,192,147,138,15.51778509007074,11.435942749161713,0.6759394587923465,13.255453865237978,1,0.71875,16.278820596099706,255.0,255.0,255.0,8,1.5024828781247044,42.62741699796952,43.09484253138079,0.9387755102040817,0.0,0,0
175,480,209,175,31.91870258167273,7.452700441455149,0.9723591837470992,14.927053303604616,1,0.3645833333333333,29.832867780352597,255.0,255.0,255.0,9,0.892900524672056,70.94112549695429,70.3306204908823,0.8373205741626795,0.5714285714285714,1,1
38,63,45,38,9.148786130841145,5.387015308942132,0.8082620394917898,6.955796338302048,1,0.6031746031746031,9.486832980505138,255.0,255.0,255.0,10,1.0701537512728736,22.727922061357855,24.228938327024885,0.8444444444444444,0.0,0,0
310,624,424,310,25.5981637473266,20.06017446718029,0.6211940581102944,19.867165345562018,1,0.4967948717948718,26.68332812825267,255.0,255.0,255.0,11,0.03826247070432547,103.7401153701776,104.50022889984768,0.7311320754716981,4.838709677419355,15,7
85,121,90,85,12.788596298317993,8.592040165153804,0.7406856911321509,10.403141895720198,1,0.7024793388429752,13.038404810405298,255.0,255.0,255.0,12,0.8682118996162104,34.384776310850235,35.28032914350498,0.9444444444444444,0.0,0,0
737,2205,935,737,62.83685356749646,18.173445097121565,0.9572637598887188,30.632948674096244,1,0.33424036281179137,59.64059020499378,255.0,255.0,255.0,13,0.8332412207242368,150.99494936611666,145.83370555440462,0.788235294117647,11.261872455902306,83,19
114,209,128,114,20.743108129210412,7.259418018407898,0.9367617642881327,12.047792665040703,1,0.5454545454545454,19.924858845171276,255.0,255.0,255.0,14,0.36764832582749185,47.21320343559642,47.44244069452466,0.890625,6.140350877192982,7,2
432,1176,614,432,44.81378895958785,15.997295022261731,0.9341148530470353,23.452920571340155,1,0.3673469387755102,46.647615158762406,255.0,255.0,255.0,15,0.5600170261803332,133.71067811865476,131.7360068593492,0.7035830618892508,18.287037037037038,79,10
91,165,111,91,16.560881680535765,7.753210524503479,0.8836415341767179,10.764051215546116,1,0.5515151515151515,16.15549442140351,255.0,255.0,255.0,16,-1.2206824453101541,41.384776310850235,42.309444367983346,0.8198198198198198,0.0,0,0
17,25,18,17,6.471347161294289,3.565094839148883,0.8345682328932296,4.652426491681278,1,0.68,6.4031242374328485,255.0,255.0,255.0,17,0.8138844127491408,13.035533905932738,16.184387143021418,0.9444444444444444,0.0,0,0
119,160,131,119,15.724169749902504,9.976611401803408,0.7729424022679023,12.309163489997376,1,0.74375,16.492422502470642,255.0,255.0,255.0,18,-0.15553450966285903,42.38477631085024,42.864804735253145,0.9083969465648855,10.084033613445378,12,3
59,120,72,59,14.21877788619466,6.278638340012602,0.8972249822381843,8.667244841319219,1,0.49166666666666664,13.892443989449804,255.0,255.0,255.0,19,-0.6530721936229019,33.384776310850235,34.72496877623518,0.8194444444444444,0.0,0,0
48,88,60,48,11.477621628641712,6.265007012034951,0.8378859082234054,7.817640190446719,1,0.5454545454545454,12.083045973594572,255.0,255.0,255.0,20,-1.0519378529868477,32.970562748477136,35.28032914350498,0.8,0.0,0,0
109,256,138,109,18.826824957793335,8.190905712818815,0.9003987115406645,11.780624362746345,1,0.42578125,18.867962264113206,255.0,255.0,255.0,21,-0.6609481422609683,49.4558441227157,50.353995551986806,0.7898550724637681,1.834862385321101,2,1
33,60,42,33,10.746203395877039,4.2787743146799775,0.9173133193085588,6.4820448144285745,1,0.55,10.44030650891055,255.0,255.0,255.0,22,1.1442868925295617,24.520815280171306,26.12505722496192,0.7857142857142857,12.121212121212121,4,2
148,234,169,148,20.264220876533948,9.905716644702288,0.87238023759565,13.727325035155395,1,0.6324786324786325,21.095023109728988,255.0,255.0,255.0,23,-1.09250728959829,52.62741699796952,52.57543702106599,0.8757396449704142,14.18918918918919,21,4
309,620,401,309,32.12237512879159,13.27017203227902,0.9106797551381619,19.83509564693766,1,0.49838709677419357,32.57299494980466,255.0,255.0,255.0,24,1.2768932729160727,91.97665940288701,96.78100028698637,0.770573566084788,23.624595469255663,73,10
19,35,25,19,7.751360116515836,4.095070443796478,0.8490556189037075,4.918490759365935,1,0.5428571428571428,7.280109889280518,255.0,255.0,255.0,25,-1.4614618538579256,16.656854249492383,19.651302367753352,0.76,21.052631578947366,4,1
94,130,101,94,13.456140585455264,9.153522050143472,0.732981388072692,10.940041919714261,1,0.7230769230769231,13.92838827718412,255.0,255.0,255.0,26,-1.226940150992187,35.55634918610404,36.39104987804457,0.9306930693069307,7.446808510638298,7,2
160,304,218,160,20.887113418747507,12.770953098041582,0.7913005466958254,14.27299292922217,1,0.5263157894736842,20.615528128088304,255.0,255.0,255.0,27,0.39536684905571295,67.18376618407356,66.76842049113588,0.7339449541284404,13.125,21,4
71,99,74,71,11.324050878826345,8.106459854485648,0.6982415956183523,9.507891862878783,1,0.7171717171717171,11.704699910719626,255.0,255.0,255.0,28,1.215646196325604,29.556349186104043,30.702693184233453,0.9594594594594594,0.0,0,0
68,108,75,68,12.393092113714474,7.181978699077191,0.8149618065185925,9.304852983362556,1,0.6296296296296297,12.649110640673518,255.0,255.0,255.0,29,-1.155807101367914,30.97056274847714,32.0434517149007,0.9066666666666666,7.352941176470589,5,1
91,128,98,91,15.607686309660648,7.5601637157263655,0.8748537164719383,10.764051215546116,1,0.7109375,16.76305461424021,255.0,255.0,255.0,30,1.3199386083362457,36.9350288425444,38.842529143251404,0.9285714285714286,20.87912087912088,19,5
107,208,127,107,16.687936168997105,8.958322437591304,0.8437004378892702,11.67204486311899,1,0.5144230769230769,17.46424919657298,255.0,255.0,255.0,31,-0.9728839080918091,44.42031021678298,47.67247849065232,0.84251968503937,1.8691588785046727,2,2
44,70,48,44,8.972201442238834,6.360682272039519,0.705276664139252,7.48482063701911,1,0.6285714285714286,10.04987562112089,255.0,255.0,255.0,32,-1.2545772508182553,23.727922061357855,25.569696857692126,0.9166666666666666,0.0,0,0
131,176,143,131,15.665335119885787,10.843101943405744,0.7217328529280418,12.914889870235298,1,0.7443181818181818,16.278820596099706,255.0,255.0,255.0,33,1.440408213212031,44.38477631085024,44.760923633190174,0.916083916083916,6.106870229007633,8,2
110,195,130,110,14.560617020218233,10.167928948314357,0.7157884622348392,11.834540545406394,1,0.5641025641025641,15.811388300841896,255.0,255.0,255.0,34,1.072646769326244,43.45584412271572,46.006397388842935,0.8461538461538461,0.0,0,0
28,49,33,28,8.005815052075498,5.163528579641805,0.7642059876146645,5.970821321441846,1,0.5714285714285714,8.06225774829855,255.0,255.0,255.0,35,0.9945380075493022,20.106601717798213,22.88817979635764,0.8484848484848485,7.142857142857142,2,2
646,1845,972,646,58.05961736927169,19.15090951024829,0.9440336888080381,28.679483013103898,1,0.35013550135501353,51.62363799656123,255.0,255.0,255.0,36,0.7448628512571678,169.095454429505,164.3348189415197,0.6646090534979424,1.08359133126935,7,3
48,96,69,48,11.520496489813711,7.75674219740987,0.7393700396434152,7.817640190446719,1,0.5,12.649110640673518,255.0,255.0,255.0,37,1.5432169688308073,33.31370849898476,36.94641024531437,0.6956521739130435,22.916666666666664,11,3
482,900,571,482,31.35902864166271,21.52117889448669,0.7273342960096683,24.77299861870477,1,0.5355555555555556,31.04834939252005,255.0,255.0,255.0,38,0.7341770360087334,97.7401153701776,95.34495698130465,0.8441330998248686,0.0,0,0
113,200,135,113,19.30259927322238,8.026085033620491,0.909454557249496,11.994835078277376,1,0.565,20.09975124224178,255.0,255.0,255.0,39,-1.5341367833684703,47.59188309203678,49.338559592461706,0.837037037037037,12.389380530973451,14,1
16,24,19,16,6.756183014800013,3.322873917338395,0.870692885620611,4.51351666838205,1,0.6666666666666666,6.324555320336759,255.0,255.0,255.0,40,-1.3345299897679401,13.035533905932738,16.184387143021418,0.8421052631578947,50.0,8,1
410,1134,535,411,49.682082284569184,12.925744696339919,0.9655630573953401,22.847936741452536,0,0.36155202821869487,47.41307836451879,255.0,255.0,255.0,41,0.9812248711286446,122.05382386916239,116.10698008359758,0.7663551401869159,0.0,0,0
46,77,54,46,11.588647978967275,5.361243844679212,0.8865520124222679,7.653039857325812,1,0.5974025974025974,11.704699910719626,255.0,255.0,255.0,42,1.2156673406392635,26.727922061357855,28.02117612289896,0.8518518518518519,0.0,0,0
33,56,40,33,7.236864805666907,6.2508519821372905,0.5039181966594678,6.4820448144285745,1,0.5892857142857143,8.246211251235321,255.0,255.0,255.0,43,1.3369962480011184,20.899494936611664,22.88817979635764,0.825,0.0,0,0
486,960,525,486,40.128594997675755,15.909907323846,0.9180463514305955,24.875578761936154,1,0.50625,38.41874542459709,255.0,255.0,255.0,44,0.8779978282130901,97.74011537017762,95.34495698130463,0.9257142857142857,16.049382716049383,78,6
35,54,41,35,8.797062985498204,5.368944065661126,0.7921619259145111,6.6755811781245455,1,0.6481481481481481,9.219544457292887,255.0,255.0,255.0,45,-1.4681425159080737,21.899494936611667,23.443540163627432,0.8536585365853658,2.857142857142857,1,1
25,49,33,25,6.770522307640397,6.049134457237974,0.44915934229607757,5.641895835477563,1,0.5102040816326531,7.280109889280518,255.0,255.0,255.0,46,-0.8857246020573921,17.86396103067893,23.443540163627436,0.7575757575757576,36.0,9,2
15,20,15,15,5.258554520990449,3.5691337129452037,0.7343887778710586,4.370193722368317,1,0.75,5.385164807134504,255.0,255.0,255.0,47,-0.48081643056706214,11.656854249492381,13.732907877814583,1.0,0.0,0,0
25,49,31,25,8.477053117597588,4.30798914128495,0.8612425125468702,5.641895835477563,1,0.5102040816326531,8.06225774829855,255.0,255.0,255.0,48,0.7805952371614082,15.071067811865476,20.9920608984206,0.8064516129032258,0.0,0,0
45,77,51,45,12.168606285931558,4.8191063995398284,0.9182385202802327,7.569397566060481,1,0.5844155844155844,11.704699910719626,255.0,255.0,255.0,49,1.1450929717185698,26.14213562373095,27.465815755629166,0.8823529411764706,0.0,0,0
